Model,Version,Dataset,SNR-in,SNR-out,SNR-Improvement,CER,CER_BF,CER_WF,recognizer
MappingNet,default,t5,-4.71,7.33,12.04,79.34%,61.04%,69.20%,google
MappingNet,default,t0,0.25,9.40,9.15,60.69%,36.62%,44.94%,google
MappingNet,v3,t5,-4.71,5.86,10.56,70.11%,60.98%,66.30%,google
MappingNet,v3,t0,0.25,8.20,7.95,51.76%,37.16%,40.47%,google
-,-,MappingNet_default_t0,-,-,MappingNet_default_t0,95.36,-,-,wihsper
-,-,t0_MappingNet_default_t0_vad,-,-,t0_MappingNet_default_t0_vad,82.85,-,-,wihsper
-,-,MappingNet_default_t5,-,-,MappingNet_default_t5,130.31,-,-,wihsper
-,-,t5_MappingNet_default_t5_vad,-,-,t5_MappingNet_default_t5_vad,91.54,-,-,wihsper
-,-,MappingNet_t3_t0,-,-,MappingNet_t3_t0,nan,-,-,wihsper
-,-,t0_MappingNet_t3_t0_vad,-,-,t0_MappingNet_t3_t0_vad,nan,-,-,wihsper
-,-,MappingNet_t3_t5,-,-,MappingNet_t3_t5,nan,-,-,wihsper
-,-,t5_MappingNet_t3_t5_vad,-,-,t5_MappingNet_t3_t5_vad,nan,-,-,wihsper
-,-,MappingNet_t9_t0,-,-,MappingNet_t9_t0,nan,-,-,wihsper
-,-,t0_MappingNet_t9_t0_vad,-,-,t0_MappingNet_t9_t0_vad,nan,-,-,wihsper
-,-,MappingNet_t9_t5,-,-,MappingNet_t9_t5,nan,-,-,wihsper
-,-,t5_MappingNet_t9_t5_vad,-,-,t5_MappingNet_t9_t5_vad,nan,-,-,wihsper
-,-,MappingNet_default_t0_output,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t0_output_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t0_WF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t0_WF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t0_BF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t0_BF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t5_output,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t5_output_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t5_WF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t5_WF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t5_BF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_default_t5_BF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t0_output,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t0_output_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t0_WF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t0_WF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t0_BF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t0_BF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t5_output,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t5_output_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t5_WF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t5_WF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t5_BF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t3_t5_BF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t0_output,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t0_output_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t0_WF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t0_WF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t0_BF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t0_BF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t5_output,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t5_output_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t5_WF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t5_WF_vad,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t5_BF,-,-,-,nan,-,-,wihsper
-,-,MappingNet_t9_t5_BF_vad,-,-,-,nan,-,-,wihsper
SpatialNet,default,t5,-4.71,12.68,17.39,53.85%,58.79%,68.02%,google
-,-,MappingNet_default_t0_output,-,-,-,88.18,-,-,wihsper
-,-,MappingNet_default_t0_output_vad,-,-,-,86.71,-,-,wihsper
-,-,MappingNet_default_t0_WF,-,-,-,66.82,-,-,wihsper
-,-,MappingNet_default_t0_WF_vad,-,-,-,69.57,-,-,wihsper
-,-,MappingNet_default_t0_BF,-,-,-,95.36,-,-,wihsper
-,-,MappingNet_default_t0_BF_vad,-,-,-,82.85,-,-,wihsper
-,-,MappingNet_default_t5_output,-,-,-,135.10,-,-,wihsper
-,-,MappingNet_default_t5_output_vad,-,-,-,202.91,-,-,wihsper
-,-,MappingNet_default_t5_WF,-,-,-,96.05,-,-,wihsper
-,-,MappingNet_default_t5_WF_vad,-,-,-,135.89,-,-,wihsper
-,-,MappingNet_default_t5_BF,-,-,-,130.31,-,-,wihsper
-,-,MappingNet_default_t5_BF_vad,-,-,-,91.54,-,-,wihsper
SpatialNet,default,t0,0.25,15.38,15.13,0.00%,0.00%,0.00%,-
-,-,SpatialNet_default_t0_output,-,-,-,54.25,-,-,wihsper
-,-,SpatialNet_default_t0_output_vad,-,-,-,51.17,-,-,wihsper
-,-,SpatialNet_default_t5_output,-,-,-,81.80,-,-,wihsper
-,-,SpatialNet_default_t5_output_vad,-,-,-,81.14,-,-,wihsper-,-,MappingNet_v3_t0_output,-,-,-,85.81,-,-,wihsper
-,-,MappingNet_v3_t0_output_vad,-,-,-,81.37,-,-,wihsper
-,-,MappingNet_v3_t0_WF,-,-,-,147.91,-,-,wihsper
-,-,MappingNet_v3_t0_WF_vad,-,-,-,184.07,-,-,wihsper
-,-,MappingNet_v3_t0_BF,-,-,-,66.80,-,-,wihsper
-,-,MappingNet_v3_t0_BF_vad,-,-,-,65.99,-,-,wihsper
-,-,MappingNet_v3_t5_output,-,-,-,145.87,-,-,wihsper
-,-,MappingNet_v3_t5_output_vad,-,-,-,123.38,-,-,wihsper
-,-,MappingNet_v3_t5_WF,-,-,-,238.26,-,-,wihsper
-,-,MappingNet_v3_t5_WF_vad,-,-,-,232.81,-,-,wihsper
-,-,MappingNet_v3_t5_BF,-,-,-,272.55,-,-,wihsper
-,-,MappingNet_v3_t5_BF_vad,-,-,-,213.11,-,-,wihsper
-,-,MappingNet_v9_t0_output,-,-,-,80.14,-,-,wihsper
-,-,MappingNet_v9_t0_output_vad,-,-,-,69.41,-,-,wihsper
-,-,MappingNet_v9_t0_WF,-,-,-,60.45,-,-,wihsper
-,-,MappingNet_v9_t0_WF_vad,-,-,-,62.42,-,-,wihsper
-,-,MappingNet_v9_t0_BF,-,-,-,66.67,-,-,wihsper
-,-,MappingNet_v9_t0_BF_vad,-,-,-,69.67,-,-,wihsper
-,-,MappingNet_v9_t5_output,-,-,-,108.71,-,-,wihsper
-,-,MappingNet_v9_t5_output_vad,-,-,-,140.74,-,-,wihsper
-,-,MappingNet_v9_t5_WF,-,-,-,92.31,-,-,wihsper
-,-,MappingNet_v9_t5_WF_vad,-,-,-,113.69,-,-,wihsper
-,-,MappingNet_v9_t5_BF,-,-,-,226.02,-,-,wihsper
-,-,MappingNet_v9_t5_BF_vad,-,-,-,115.62,-,-,wihsper
SpatialNet,version,t0_oracleWF,-,-,-,100.00,-,-,google
SpatialNet,version,t5_oracleWF,-,-,-,100.00,-,-,google
SpatialNet,version,t0_oracleWF_vad,-,-,-,44.40,-,-,google
SpatialNet,version,t5_oracleWF_vad,-,-,-,70.65,-,-,google
